Upplýsingar úr Slysaskrá Samgöngustofu;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DAGS;TÍMI;MEIÐSLI;STAÐSETNING;FLOKKUR;ÖKUTÆKI1;ÖKUTÆKI2;ÖKUTÆKI3;ÖKUTÆKI4;ÖKUTÆKI5;SLASAÐIR1;SLASAÐIR2;SLASAÐIR3;SLASAÐIR4;SLASAÐIR5;SLASAÐIR6
24.5.2017;18:09:00;Banaslys;Álfhella, 1, við;Hliðarákeyrsla;Þungt bifhjól;Vörubifreið I;;;;25 ára Karl, Ökumaður, Þungt bifhjól, Látinn;;;;;
22.5.2017;15:51:00;Banaslys;Eyjafjarðarbraut vestri, Hranastaðir, við;Hliðarákeyrsla;Fólksbifreið;Torfæruhjól;;;;12 ára Karl, Ökumaður, Torfæruhjól, Látinn;;;;;
22.5.2017;14:01:00;Banaslys;Nesjavallavegur  -  Sköflungur, neðan við;Slys á óvörðum vegfaranda;Reiðhjól;;;;;28 ára Karl, Ökumaður reiðhjóls, Reiðhjól, Látinn;;;;;
5.3.2017;01:58:00;Banaslys;Grindavíkurvegur, Gíghæð;Útafakstur og bílveltur;Fólksbifreið;;;;;45 ára Kona, Ökumaður, Fólksbifreið, Látinn;;;;;
21.2.2017;06:48:00;Banaslys;Reykjanesbraut, Brunnhólar, austan við  -  Á eða við akbraut;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;55 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;54 ára Kona, Farþegi í framsæti, Fólksbifreið, Látinn;80 ára Karl, Ökumaður, Fólksbifreið, Lítið slasaður;;;
12.1.2017;08:56:00;Banaslys;Grindavíkurvegur, ;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;22 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;18 ára Kona, Ökumaður, Fólksbifreið, Látinn;26 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;;
23.12.2016;15:23:00;Banaslys;Hringvegur, Heiðarendi, sunnan í  -  Á eða við akbraut;Útafakstur og bílveltur;Fólksbifreið;;;;;61 ára Kona, Ökumaður, Fólksbifreið, Látinn;;;;;
22.12.2016;14:16:00;Banaslys;Holtavörðuheiði, ;Framanákeyrsla;Fólksbifreið;Fólksbifreið;;;;55 ára Karl, Ökumaður, Fólksbifreið, Látinn;34 ára Kona, Farþegi í framsæti, Fólksbifreið, Lítið slasaður;34 ára Kona, Ökumaður, Fólksbifreið, Lítið slasaður;;;
9.12.2016;12:20:00;Banaslys;Vesturlandsvegur, Lágafell, móts við  -  Á eða við akbraut;Hliðarákeyrsla;Fólksbifreið;Fólksbifreið;;;;68 ára Kona, Ökumaður, Fólksbifreið, Látinn;;;;;
30.10.2016;08:44:00;Banaslys;Hringvegur, Fagurhólsmýri;Útafakstur og bílveltur;Fólksbifreið;;;;;17 ára Karl, Ökumaður, Fólksbifreið, Látinn;;;;;
17.10.2016;12:04:00;Banaslys;Reykjanesbraut, Rósaselstorg, sunnan við  -  Á eða við akbraut;Framanákeyrsla;Sendibifreið;Fólksbifreið;;;;37 ára Karl, Ökumaður, Fólksbifreið, Látinn;30 ára Karl, Farþegi í framsæti, Sendibifreið, Lítið slasaður;40 ára Karl, Ökumaður, Sendibifreið, Alvarlega slasaður;;;
14.10.2016;07:11:00;Banaslys;Híðarvegur 16 -18, á móts við  -   ;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;74 ára Karl, Fótgangandi, Fólksbifreið, Látinn;;;;;
18.9.2016;00:23:00;Banaslys;Útnesvegur, Hamraendar, vestan við;Útafakstur og bílveltur;Fólksbifreið;;;;;38 ára Karl, Ökumaður, Fólksbifreið, Látinn;33 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;;;;
17.9.2016;22:52:00;Banaslys;Suðurlandsvegur, Sólheimar, rétt vestan  -  Á eða við akbraut;Slys á óvörðum vegfaranda;Fólksbifreið;;;;;44 ára Karl, Fótgangandi, Fólksbifreið, Látinn;;;;;
4.9.2016;15:25:00;Banaslys;Ólafsfjarðarvegur, ;Framanákeyrsla;Ökutæki ekki í Ekju;Ökutæki ekki í Ekju;Fólksbifreið;Fólksbifreið;;8 ára Kona, Farþegi í aftursæti h, Fólksbifreið, Látinn;26 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;44 ára Kona, Farþegi í framsæti, Fólksbifreið, Alvarlega slasaður;45 ára Karl, Ökumaður, Fólksbifreið, Alvarlega slasaður;;
20.8.2016;13:31:00;Banaslys;Þingskálavegur, Geldingalækur;Framanákeyrsla;Fólksbifreið;Sendibifreið;;;;71 ára Karl, Ökumaður, Fólksbifreið, Látinn;51 ára Kona, Ökumaður, Sendibifreið, Alvarlega slasaður;;;;
